member_casual,Hours_0_to_4,Hours_4_to_8,Hours_8_to_12,Hours_12_to_16,Hours_16_to_20,Hours_20_to_24,total
casual,2.374,1.697,6.798,12.558,14.691,7.082,5595063
member,1.335,4.823,10.521,13.126,18.65,6.345,5595063
