member_casual,ride_0,ride_0_0.1,ride_0.1_0.2,ride_0.2_0.3,ride_0.3_0.4,ride_0.4_0.5,ride_0.5_0.6,ride_0.6_0.7,ride_0.7_0.8,ride_0.8_0.9,ride_0.9_1,total
casual,0.279,5.758,11.142,8.187,5.352,3.719,2.398,1.614,1.168,0.905,0.71,5595063
member,0.42,16.103,17.469,9.121,4.86,2.814,1.667,1.012,0.533,0.235,0.132,5595063
